,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
24143,24143,DRS 07 Campinas,"quarta-feira, 01/07",46%,VALINHOS,3556206
24183,24183,DRS 07 Campinas,"quarta-feira, 01/07",42.72727272727273,VALINHOS,3556206
3020,3020,DRS 07 Campinas,"quarta-feira, 02/06",39.59090909090909,VALINHOS,3556206
2980,2980,DRS 07 Campinas,"quarta-feira, 02/06",38%,VALINHOS,3556206
20175,20175,DRS 07 Campinas,"quarta-feira, 02/09",38%,VALINHOS,3556206
20215,20215,DRS 07 Campinas,"quarta-feira, 02/09",38.95454545454545,VALINHOS,3556206
14486,14486,DRS 07 Campinas,"quarta-feira, 02/12",37.72727272727273,VALINHOS,3556206
14446,14446,DRS 07 Campinas,"quarta-feira, 02/12",36%,VALINHOS,3556206
10477,10477,DRS 07 Campinas,"quarta-feira, 03/02",35%,VALINHOS,3556206
10517,10517,DRS 07 Campinas,"quarta-feira, 03/02",37.77272727272727,VALINHOS,3556206
8713,8713,DRS 07 Campinas,"quarta-feira, 03/03",37%,VALINHOS,3556206
8753,8753,DRS 07 Campinas,"quarta-feira, 03/03",38.18181818181818,VALINHOS,3556206
25947,25947,DRS 07 Campinas,"quarta-feira, 03/06",44.54545454545455,VALINHOS,3556206
25907,25907,DRS 07 Campinas,"quarta-feira, 03/06",47%,VALINHOS,3556206
31473,31473,DRS 07 Campinas,"quarta-feira, 04/03",34.5,VALINHOS,3556206
31433,31433,DRS 07 Campinas,"quarta-feira, 04/03",34%,VALINHOS,3556206
16250,16250,DRS 07 Campinas,"quarta-feira, 04/11",38.13636363636363,VALINHOS,3556206
16210,16210,DRS 07 Campinas,"quarta-feira, 04/11",37%,VALINHOS,3556206
4784,4784,DRS 07 Campinas,"quarta-feira, 05/05",38.31818181818182,VALINHOS,3556206
4744,4744,DRS 07 Campinas,"quarta-feira, 05/05",35%,VALINHOS,3556206
21978,21978,DRS 07 Campinas,"quarta-feira, 05/08",39.81818181818182,VALINHOS,3556206
21938,21938,DRS 07 Campinas,"quarta-feira, 05/08",42%,VALINHOS,3556206
12281,12281,DRS 07 Campinas,"quarta-feira, 06/01",39.77272727272727,VALINHOS,3556206
12241,12241,DRS 07 Campinas,"quarta-feira, 06/01",34%,VALINHOS,3556206
27671,27671,DRS 07 Campinas,"quarta-feira, 06/05",47%,VALINHOS,3556206
27711,27711,DRS 07 Campinas,"quarta-feira, 06/05",46.54545454545455,VALINHOS,3556206
6508,6508,DRS 07 Campinas,"quarta-feira, 07/04",42%,VALINHOS,3556206
6548,6548,DRS 07 Campinas,"quarta-feira, 07/04",42.13636363636363,VALINHOS,3556206
815,815,DRS 07 Campinas,"quarta-feira, 07/07",37.81818181818182,VALINHOS,3556206
775,775,DRS 07 Campinas,"quarta-feira, 07/07",37%,VALINHOS,3556206
17972,17972,DRS 07 Campinas,"quarta-feira, 07/10",37%,VALINHOS,3556206
18012,18012,DRS 07 Campinas,"quarta-feira, 07/10",37.90909090909091,VALINHOS,3556206
29475,29475,DRS 07 Campinas,"quarta-feira, 08/04",48.95454545454545,VALINHOS,3556206
29435,29435,DRS 07 Campinas,"quarta-feira, 08/04",51%,VALINHOS,3556206
23742,23742,DRS 07 Campinas,"quarta-feira, 08/07",42.63636363636363,VALINHOS,3556206
23702,23702,DRS 07 Campinas,"quarta-feira, 08/07",45%,VALINHOS,3556206
2579,2579,DRS 07 Campinas,"quarta-feira, 09/06",37.86363636363637,VALINHOS,3556206
2539,2539,DRS 07 Campinas,"quarta-feira, 09/06",35%,VALINHOS,3556206
19734,19734,DRS 07 Campinas,"quarta-feira, 09/09",40%,VALINHOS,3556206
19774,19774,DRS 07 Campinas,"quarta-feira, 09/09",39.72727272727273,VALINHOS,3556206
14045,14045,DRS 07 Campinas,"quarta-feira, 09/12",37.40909090909091,VALINHOS,3556206
14005,14005,DRS 07 Campinas,"quarta-feira, 09/12",37%,VALINHOS,3556206
10076,10076,DRS 07 Campinas,"quarta-feira, 10/02",37.13636363636363,VALINHOS,3556206
10036,10036,DRS 07 Campinas,"quarta-feira, 10/02",35%,VALINHOS,3556206
8272,8272,DRS 07 Campinas,"quarta-feira, 10/03",42%,VALINHOS,3556206
8312,8312,DRS 07 Campinas,"quarta-feira, 10/03",41.04545454545455,VALINHOS,3556206
25466,25466,DRS 07 Campinas,"quarta-feira, 10/06",46%,VALINHOS,3556206
25506,25506,DRS 07 Campinas,"quarta-feira, 10/06",43.31818181818182,VALINHOS,3556206
31006,31006,DRS 07 Campinas,"quarta-feira, 11/03",34%,VALINHOS,3556206
31045,31045,DRS 07 Campinas,"quarta-feira, 11/03",34.35294117647059,VALINHOS,3556206
15769,15769,DRS 07 Campinas,"quarta-feira, 11/11",36%,VALINHOS,3556206
15809,15809,DRS 07 Campinas,"quarta-feira, 11/11",38.18181818181818,VALINHOS,3556206
4303,4303,DRS 07 Campinas,"quarta-feira, 12/05",36%,VALINHOS,3556206
4343,4343,DRS 07 Campinas,"quarta-feira, 12/05",38.45454545454545,VALINHOS,3556206
21498,21498,DRS 07 Campinas,"quarta-feira, 12/08",41%,VALINHOS,3556206
21538,21538,DRS 07 Campinas,"quarta-feira, 12/08",39.68181818181818,VALINHOS,3556206
11840,11840,DRS 07 Campinas,"quarta-feira, 13/01",38.63636363636363,VALINHOS,3556206
11800,11800,DRS 07 Campinas,"quarta-feira, 13/01",36%,VALINHOS,3556206
27230,27230,DRS 07 Campinas,"quarta-feira, 13/05",46%,VALINHOS,3556206
27270,27270,DRS 07 Campinas,"quarta-feira, 13/05",46.72727272727273,VALINHOS,3556206
6067,6067,DRS 07 Campinas,"quarta-feira, 14/04",38%,VALINHOS,3556206
6107,6107,DRS 07 Campinas,"quarta-feira, 14/04",40.04545454545455,VALINHOS,3556206
374,374,DRS 07 Campinas,"quarta-feira, 14/07",39.5,VALINHOS,3556206
334,334,DRS 07 Campinas,"quarta-feira, 14/07",40%,VALINHOS,3556206
17571,17571,DRS 07 Campinas,"quarta-feira, 14/10",37.59090909090909,VALINHOS,3556206
17531,17531,DRS 07 Campinas,"quarta-feira, 14/10",37%,VALINHOS,3556206
28994,28994,DRS 07 Campinas,"quarta-feira, 15/04",50%,VALINHOS,3556206
29034,29034,DRS 07 Campinas,"quarta-feira, 15/04",50.13636363636363,VALINHOS,3556206
23261,23261,DRS 07 Campinas,"quarta-feira, 15/07",46%,VALINHOS,3556206
23301,23301,DRS 07 Campinas,"quarta-feira, 15/07",42.63636363636363,VALINHOS,3556206
2138,2138,DRS 07 Campinas,"quarta-feira, 16/06",37.04545454545455,VALINHOS,3556206
2098,2098,DRS 07 Campinas,"quarta-feira, 16/06",36%,VALINHOS,3556206
19334,19334,DRS 07 Campinas,"quarta-feira, 16/09",38.22727272727273,VALINHOS,3556206
19294,19294,DRS 07 Campinas,"quarta-feira, 16/09",38%,VALINHOS,3556206
13564,13564,DRS 07 Campinas,"quarta-feira, 16/12",37%,VALINHOS,3556206
13604,13604,DRS 07 Campinas,"quarta-feira, 16/12",39.22727272727273,VALINHOS,3556206
9595,9595,DRS 07 Campinas,"quarta-feira, 17/02",34%,VALINHOS,3556206
9635,9635,DRS 07 Campinas,"quarta-feira, 17/02",37.68181818181818,VALINHOS,3556206
7871,7871,DRS 07 Campinas,"quarta-feira, 17/03",40.90909090909091,VALINHOS,3556206
7831,7831,DRS 07 Campinas,"quarta-feira, 17/03",40%,VALINHOS,3556206
25025,25025,DRS 07 Campinas,"quarta-feira, 17/06",46%,VALINHOS,3556206
25065,25065,DRS 07 Campinas,"quarta-feira, 17/06",43.63636363636363,VALINHOS,3556206
30758,30758,DRS 07 Campinas,"quarta-feira, 18/03",42%,VALINHOS,3556206
30798,30798,DRS 07 Campinas,"quarta-feira, 18/03",41.04545454545455,VALINHOS,3556206
15328,15328,DRS 07 Campinas,"quarta-feira, 18/11",36%,VALINHOS,3556206
15368,15368,DRS 07 Campinas,"quarta-feira, 18/11",37.86363636363637,VALINHOS,3556206
3862,3862,DRS 07 Campinas,"quarta-feira, 19/05",37%,VALINHOS,3556206
3902,3902,DRS 07 Campinas,"quarta-feira, 19/05",38.63636363636363,VALINHOS,3556206
