,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
82,BORACÉIA,3507308,4868,394,108,0,502,654,76.75840978593273,8.0936729663106,2.218570254724733
83,BORBOREMA,3507407,16164,1192,378,0,1570,1820,86.26373626373626,7.374412274189557,2.338530066815145
84,BOREBI,3507456,2683,156,45,0,201,328,61.28048780487805,5.814386880357809,1.6772269847185988
85,BOTUCATU,3507506,148130,17796,6277,0,24073,26749,89.99588769673633,12.013771687031662,4.237494093026395
86,BRAGANÇA PAULISTA,3507605,170533,12758,5105,0,17863,22838,78.21613100972064,7.481249963350202,2.9935554995220865
87,BRAÚNA,3507704,5741,537,248,0,785,938,83.68869936034116,9.353771120013935,4.319804912036231
88,BREJO ALEGRE,3507753,2889,278,47,0,325,456,71.27192982456141,9.622706818968501,1.6268605053651783
89,BRODOWSKI,3507803,25277,1765,787,0,2552,3186,80.10043942247333,6.982632432646279,3.113502393480239
90,BROTAS,3507902,24636,1520,562,0,2082,2776,75.0,6.169832765059263,2.281214482870596
91,BURI,3508009,19965,932,265,0,1197,1782,67.17171717171718,4.66816929626847,1.3273228149261207
92,BURITAMA,3508108,17281,1205,469,0,1674,2097,79.82832618025752,6.972976100920085,2.7139633123083153
93,BURITIZAL,3508207,4514,404,160,0,564,688,81.97674418604652,8.949933540097474,3.5445281346920687
94,CABRÁLIA PAULISTA,3508306,4243,321,119,0,440,558,78.85304659498208,7.565401838321942,2.8046193730850812
95,CABREÚVA,3508405,50429,1736,476,0,2212,3485,63.47202295552368,3.442463661781911,0.9439013266176207
96,CAÇAPAVA,3508504,95018,5214,2132,0,7346,11812,62.19099221131054,5.4873813382727485,2.2437853880317413
97,CACHOEIRA PAULISTA,3508603,33581,2296,776,0,3072,4584,67.01570680628272,6.83719960692058,2.3108305291682796
98,CACONDE,3508702,19009,1254,326,0,1580,2556,61.815336463223794,6.596875164395813,1.7149771161028986
99,CAFELÂNDIA,3508801,17843,860,129,0,989,2636,37.518968133535665,4.8198172952978755,0.7229725942946814
100,CAIABU,3508900,4193,316,112,0,428,604,70.86092715231787,7.536370140710709,2.671118530884808
101,CAIEIRAS,3509007,102775,5191,1919,0,7110,8588,82.7899394503959,5.050839211870591,1.8671855996108002
102,CAIUÁ,3509106,5946,454,166,0,620,820,75.60975609756098,7.635385132862428,2.791792801883619
103,CAJAMAR,3509205,77934,3137,773,0,3910,5397,72.44765610524365,4.025200810942593,0.9918649113352324
104,CAJATI,3509254,28494,1384,386,0,1770,2631,67.27480045610034,4.857162911490138,1.3546711588404576
105,CAJOBI,3509304,10596,831,329,0,1160,1201,96.58617818484596,7.842582106455266,3.104945262363156
106,CAJURU,3509403,26393,1996,731,0,2727,3738,72.95345104333867,7.562611298450346,2.7696737771378777
107,CAMPINA DO MONTE ALEGRE,3509452,6057,396,123,0,519,638,81.34796238244513,6.537890044576524,2.0307082714214957
108,CAMPINAS,3509502,1213792,107368,40205,0,147573,181370,81.36571649115069,8.845667132424666,3.3123467612243283
109,CAMPO LIMPO PAULISTA,3509601,85541,2906,1357,0,4263,7138,59.722611375735504,3.397201342046504,1.5863737856700297
110,CAMPOS DO JORDÃO,3509700,52405,3042,1321,0,4363,5278,82.66388783630163,5.804789619311134,2.5207518366568076
111,CAMPOS NOVOS PAULISTA,3509809,4997,370,109,0,479,586,81.74061433447099,7.404442665599359,2.1813087852711623
112,CANANÉIA,3509908,12541,905,323,0,1228,1738,70.65592635212889,7.216330436169365,2.575552188820668
113,CANAS,3509957,5204,217,96,0,313,422,74.17061611374407,4.169869331283628,1.8447348193697155
114,CÂNDIDO MOTA,3510005,31346,2072,771,0,2843,3770,75.41114058355438,6.610093791871371,2.4596439737127542
115,CÂNDIDO RODRIGUES,3510104,2799,288,105,0,393,390,100.76923076923077,10.289389067524116,3.751339764201501
116,CANITAR,3510153,5292,215,92,0,307,374,82.0855614973262,4.062736205593349,1.7384731670445956
117,CAPÃO BONITO,3510203,47118,2671,857,0,3528,4589,76.87949444323382,5.668746551211852,1.818837811452099
118,CAPELA DO ALTO,3510302,20985,773,259,0,1032,1609,64.13921690490987,3.683583512032404,1.234214915415773
119,CAPIVARI,3510401,56379,3230,1170,0,4400,5822,75.57540364136037,5.729083524007166,2.0752407811419142
120,CARAGUATATUBA,3510500,123389,8503,3116,0,11619,8231,141.16146276272627,6.891213965588506,2.5253466678553194
121,CARAPICUÍBA,3510609,403183,14626,5299,0,19925,24935,79.9077601764588,3.6276331095309073,1.3142915251883138
122,CARDOSO,3510708,12349,915,340,0,1255,1853,67.72800863464651,7.409506842659325,2.7532593732286013
123,CASA BRANCA,3510807,30520,2503,1027,0,3530,5084,69.43351691581432,8.201179554390563,3.3650065530799473
