,Indice s/ Acento,Indice c/ acento,Município com acento,Municipio Sem Acento,Total 1ª Dose,Total 2ª Dose,Total Doses Aplicadas,Doses distribuidas,% Vacinas Aplicadas,Código IBGE
53,62,53,BARRETOS,BARRETOS,24511,14080,38591,42158,109.2430877665777,3505500
54,63,54,BARRINHA,BARRINHA,3100,1857,4957,5395,108.83598950978414,3505609
55,64,55,BARUERI,BARUERI,36352,21888,58240,58065,99.69951923076924,3505708
56,56,56,BARÃO DE ANTONINA,BARAO DE ANTONINA,679,401,1080,1116,103.33333333333334,3505005
57,65,57,BASTOS,BASTOS,3802,1946,5748,5523,96.0855949895616,3505807
58,66,58,BATATAIS,BATATAIS,10579,6038,16617,17654,106.24059697899742,3505906
59,67,59,BAURU,BAURU,71249,41016,112265,125366,111.66971006101632,3506003
60,68,60,BEBEDOURO,BEBEDOURO,14569,8750,23319,25564,109.62734251039925,3506102
61,69,61,BENTO DE ABREU,BENTO DE ABREU,416,244,660,683,103.48484848484848,3506201
62,70,62,BERNARDINO DE CAMPOS,BERNARDINO DE CAMPOS,2406,1421,3827,3698,96.62921348314607,3506300
63,71,63,BERTIOGA,BERTIOGA,7440,4293,11733,11816,100.7074064604108,3506359
64,72,64,BILAC,BILAC,1792,1048,2840,2686,94.5774647887324,3506409
65,73,65,BIRIGUI,BIRIGUI,16673,9451,26124,31959,122.3357831878732,3506508
66,74,66,BIRITIBA MIRIM,BIRITIBA MIRIM,4199,2552,6751,6460,95.68952747741078,3506607
67,75,67,BOA ESPERANÇA DO SUL,BOA ESPERANCA DO SUL,1943,1172,3115,3041,97.62439807383628,3506706
68,76,68,BOCAINA,BOCAINA,1917,1044,2961,2815,95.06923336710572,3506805
69,77,69,BOFETE,BOFETE,1908,1045,2953,2953,100.0,3506904
70,78,70,BOITUVA,BOITUVA,7754,4310,12064,11955,99.0964854111406,3507001
71,79,71,BOM JESUS DOS PERDÕES,BOM JESUS DOS PERDOES,3091,1461,4552,4753,104.41564147627416,3507100
72,80,72,BOM SUCESSO DE ITARARÉ,BOM SUCESSO DE ITARARE,374,182,556,660,118.705035971223,3507159
73,82,73,BORACÉIA,BORACEIA,848,505,1353,1347,99.55654101995566,3507308
74,83,74,BORBOREMA,BORBOREMA,2895,1644,4539,4536,99.93390614672836,3507407
75,84,75,BOREBI,BOREBI,389,182,571,662,115.9369527145359,3507456
76,81,76,BORÁ,BORA,187,123,310,300,96.77419354838707,3507209
77,85,77,BOTUCATU,BOTUCATU,29586,17863,47449,49288,103.87574026849882,3507506
78,86,78,BRAGANÇA PAULISTA,BRAGANCA PAULISTA,30044,18085,48129,46831,97.30308130233333,3507605
79,87,79,BRAÚNA,BRAUNA,1087,682,1769,1778,100.50876201243643,3507704
80,88,80,BREJO ALEGRE,BREJO ALEGRE,503,358,861,886,102.90360046457609,3507753
81,89,81,BRODOWSKI,BRODOWSKI,3793,2397,6190,6476,104.62035541195476,3507803
82,90,82,BROTAS,BROTAS,3862,2119,5981,5909,98.79618792844006,3507902
83,91,83,BURI,BURI,2436,1318,3754,4074,108.52424080980288,3508009
84,92,84,BURITAMA,BURITAMA,3118,1783,4901,4647,94.81738420730466,3508108
85,93,85,BURITIZAL,BURITIZAL,899,496,1395,1380,98.9247311827957,3508207
86,54,86,BÁLSAMO,BALSAMO,1916,1212,3128,2877,91.9757033248082,3504800
87,95,87,CABREÚVA,CABREUVA,4593,2110,6703,8221,122.6465761599284,3508405
88,94,88,CABRÁLIA PAULISTA,CABRALIA PAULISTA,746,436,1182,1172,99.15397631133672,3508306
89,97,89,CACHOEIRA PAULISTA,CACHOEIRA PAULISTA,5472,3152,8624,9471,109.82142857142858,3508603
90,98,90,CACONDE,CACONDE,3249,1936,5185,5528,106.6152362584378,3508702
91,99,91,CAFELÂNDIA,CAFELANDIA,3122,1780,4902,5341,108.95552835577315,3508801
92,100,92,CAIABU,CAIABU,746,422,1168,1257,107.61986301369863,3508900
93,101,93,CAIEIRAS,CAIEIRAS,12157,6639,18796,19303,102.69738242179189,3509007
94,102,94,CAIUÁ,CAIUA,924,608,1532,1767,115.33942558746736,3509106
95,103,95,CAJAMAR,CAJAMAR,7522,3102,10624,12045,113.3753765060241,3509205
96,104,96,CAJATI,CAJATI,3436,2170,5606,6152,109.73956475205138,3509254
97,105,97,CAJOBI,CAJOBI,1937,1082,3019,3067,101.58993044054324,3509304
98,106,98,CAJURU,CAJURU,4223,2579,6802,7294,107.23316671567189,3509403
