,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Escolarizacao_6_14_anos,IDHM,Mortalidade_Infantil,Receitas_Realizadas,Despesas_empenhadas,PIB
494,RIO GRANDE DA SERRA,36.341,51436,1210.04,98.2,749,8.00,8.897.607.302,7.289.705.085,11282.4
495,RIOLÂNDIA,631.897,12689,16.7,96.7,703,09.09,3.892.572.303,3.488.575.768,20423.64
496,ROSANA,744.011,16281,26.51,98.1,764,13.04,9.368.095.622,8.095.572.407,70267.57
497,ROSEIRA,129.847,10801,73.47,98.7,737,37.59,3.389.539.412,3.001.964.446,27647.35
498,RUBIÁCEA,236.484,3162,11.52,99.5,721,28.57,167.063.947,1.322.927.953,20298.51
499,RUBINÉIA,242.877,3170,11.78,100.0,759,43.48,2.553.942.748,2.009.432.874,24965.32
500,SABINO,305.285,5614,16.78,97.2,728,17.86,2.438.155.714,2.100.327.135,21248.16
501,SAGRES,147.935,2430,16.2,99.2,730,38.46,140.088.457,115.076.192,15451.37
502,SALES,308.555,6407,17.67,100.0,751,17.24,3.263.757.083,2.715.044.214,22858.39
503,SALES OLIVEIRA,305.776,11998,34.58,98.8,772,7.52,4.424.732.066,3.653.791.764,29378.39
504,SALESÓPOLIS,424.997,17252,36.79,98.4,732,5.32,4.234.510.216,3.824.498.838,11899.42
505,SALMOURÃO,172.934,5337,27.96,98.3,719,27.03,1.637.061.593,145.034.334,13614.17
506,SALTINHO,99.738,8393,70.78,96.8,791,21.51,2.867.208.886,2.464.291.731,30002.45
507,SALTO,133.057,119736,792.13,98.4,780,7.73,35.424.464.005,3.222.559.574,62187.92
508,SALTO DE PIRAPORA,280.509,45860,143.02,98.6,729,12.94,13.172.943.224,119.093.116,37530.47
509,SALTO GRANDE,188.441,9364,46.64,96.5,704,9.17,2.997.147.426,2.633.254.072,23885.16
510,SANDOVALINA,455.856,4354,8.13,98.2,709,18.87,3.230.783.146,2.594.594.712,90156.11
511,SANTA ADÉLIA,330.269,15561,43.32,100.0,760,10.93,4.550.482.836,4.128.203.322,19941.08
512,SANTA ALBERTINA,272.692,6022,20.98,98.8,728,46.15,2.880.462.392,2.566.663.718,30542.24
513,SANTA BÁRBARA D'OESTE,271.030,194390,664.49,98.4,781,9.95,52.548.717.725,50.826.275.516,30798.27
514,SANTA BRANCA,272.238,14857,50.56,98.8,735,48.78,4.651.746.241,4.300.441.533,16610.52
515,SANTA CLARA D'OESTE,183.458,2113,11.36,98.5,733,48.78,1.775.740.355,1.531.284.899,32177.82
516,SANTA CRUZ DA CONCEIÇÃO,150.130,4544,26.66,99.6,790,30.30,2.327.435.012,2.175.271.564,27720.76
517,SANTA CRUZ DA ESPERANÇA,148.062,2153,13.19,86.2,743,66.67,1.577.904.758,1.468.003.002,24309.59
