,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
36,ARARAQUARA,3503208,238339,33197,10530,0,43727,50466,86.64645503903618,13.92848002215332,4.418076772999803
37,ARARAS,3503307,135506,14209,4791,0,19000,23866,79.61116232296992,10.485882543946394,3.535636798370552
38,ARCO-ÍRIS,3503356,1773,422,234,0,656,779,84.21052631578947,23.801466441060352,13.19796954314721
39,AREALVA,3503406,8613,1210,277,0,1487,1923,77.32709308372335,14.048531289910601,3.216068733310112
40,AREIAS,3503505,3896,277,132,0,409,720,56.80555555555556,7.109856262833676,3.3880903490759757
41,AREIÓPOLIS,3503604,11158,652,228,0,880,1310,67.17557251908397,5.843341100555655,2.043376949274063
42,ARIRANHA,3503703,9761,1090,403,0,1493,1647,90.64966605950212,11.166888638459174,4.128675340641328
43,ARTUR NOGUEIRA,3503802,55340,4558,1397,0,5955,7232,82.34236725663717,8.236357065413806,2.524394651246838
44,ARUJÁ,3503901,91157,6387,1971,0,8358,7196,116.147859922179,7.00659302083219,2.1622036705903005
45,ASPÁSIA,3503950,1818,263,106,0,369,428,86.21495327102804,14.466446644664465,5.83058305830583
46,ASSIS,3504008,105087,14089,5091,0,19180,22527,85.14227371598525,13.406986592061815,4.8445573667532615
47,ATIBAIA,3504107,144088,17941,6287,0,24228,27920,86.77650429799428,12.45141857753595,4.363305757592582
48,AURIFLAMA,3504206,15253,1872,543,0,2415,3247,74.37634739759778,12.272995476299744,3.5599554186061764
49,AVAÍ,3504305,5436,870,527,0,1397,1686,82.858837485172,16.00441501103753,9.694628403237674
50,AVANHANDAVA,3504404,13859,971,256,0,1227,1434,85.56485355648536,7.006277509199799,1.8471751208600908
51,AVARÉ,3504503,91232,10756,3265,0,14021,17343,80.84529781468028,11.789722904244124,3.578788144510698
52,BADY BASSITT,3504602,17761,1378,779,0,2157,3082,69.9870214146658,7.758572152468893,4.386014300996566
53,BALBINOS,3504701,5934,269,86,0,355,350,101.42857142857142,4.53319851702056,1.4492753623188406
54,BÁLSAMO,3504800,9139,1380,483,0,1863,1933,96.37868598034144,15.100120363278258,5.28504212714739
55,BANANAL,3504909,10993,1383,463,0,1846,2288,80.68181818181817,12.580733193850632,4.21177112708087
56,BARÃO DE ANTONINA,3505005,3498,434,174,0,608,774,78.55297157622739,12.40708976558033,4.974271012006861
57,BARBOSA,3505104,7468,660,241,0,901,1220,73.85245901639344,8.837707552222817,3.2271023031601502
58,BARIRI,3505203,35558,4318,1398,0,5716,6950,82.24460431654677,12.143540131615952,3.9316047021767253
59,BARRA BONITA,3505302,36126,4636,1472,0,6108,7296,83.7171052631579,12.832862758124342,4.074627691967005
60,BARRA DO CHAPÉU,3505351,5760,432,114,0,546,796,68.5929648241206,7.5,1.9791666666666665
61,BARRA DO TURVO,3505401,7632,1351,595,0,1946,2818,69.05606813342796,17.701781970649897,7.796121593291405
62,BARRETOS,3505500,122833,17145,6647,0,23792,31154,76.3690055851576,13.957975462619979,5.411412242638379
63,BARRINHA,3505609,33180,2188,715,0,2903,3478,83.46751006325475,6.5943339361060875,2.1549125979505726
64,BARUERI,3505708,276982,23438,9859,0,33297,37062,89.84134693216772,8.461921713324331,3.559437075333415
65,BASTOS,3505807,20953,2424,827,0,3251,3578,90.86081609837898,11.568749105140075,3.946928840738796
66,BATATAIS,3505906,62980,4980,1860,0,6840,11587,59.031673427116594,7.907272149888854,2.953318513813909
67,BAURU,3506003,379297,53153,20871,0,74024,86668,85.41099367702036,14.013556658766085,5.502548135102572
68,BEBEDOURO,3506102,77555,8656,2572,0,11228,14415,77.89108567464447,11.161111469279867,3.316356134356263
69,BENTO DE ABREU,3506201,3005,298,97,0,395,424,93.16037735849056,9.916805324459235,3.2279534109816974
70,BERNARDINO DE CAMPOS,3506300,11158,1721,587,0,2308,2552,90.43887147335423,15.423911095178347,5.260799426420506
71,BERTIOGA,3506359,64723,4682,1655,0,6337,6856,92.42998833138857,7.2339044852679875,2.5570508165567105
72,BILAC,3506409,8117,1225,392,0,1617,1841,87.83269961977186,15.091782678329432,4.829370457065418
73,BIRIGUI,3506508,124883,12374,3314,0,15688,20892,75.09094390197205,9.908474331974729,2.6536838480818044
74,BIRITIBA MIRIM,3506607,32936,2652,727,0,3379,2554,132.3022709475333,8.051979596793782,2.2073111488948265
75,BOA ESPERANÇA DO SUL,3506706,15018,1303,399,0,1702,1962,86.74821610601427,8.676255160474097,2.656811825809029
76,BOCAINA,3506805,12452,1212,340,0,1552,1848,83.98268398268398,9.73337616447157,2.7304850626405397
77,BOFETE,3506904,11921,1181,282,0,1463,1826,80.12048192771084,9.906887006123648,2.36557335793977
78,BOITUVA,3507001,62170,4524,1294,0,5818,7566,76.89664287602433,7.276821618143798,2.0813897378156665
79,BOM JESUS DOS PERDÕES,3507100,25985,1970,431,0,2401,3024,79.39814814814815,7.58129690205888,1.6586492207042522
80,BOM SUCESSO DE ITARARÉ,3507159,3984,291,67,0,358,420,85.23809523809524,7.30421686746988,1.6817269076305221
81,BORÁ,3507209,838,134,59,0,193,202,95.54455445544554,15.990453460620524,7.040572792362769
82,BORACÉIA,3507308,4868,585,125,0,710,904,78.53982300884957,12.017255546425638,2.5677896466721446
83,BORBOREMA,3507407,16164,1838,517,0,2355,3010,78.23920265780731,11.370947785201682,3.1984657263053697
