,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
25538,INDAIATUBA,3520509,256223,SP,"segunda-feira, 10/08",43%
25384,INDAIATUBA,3520509,256223,SP,"segunda-feira, 11/01",40%
25629,INDAIATUBA,3520509,256223,SP,"segunda-feira, 11/05",49%
25293,INDAIATUBA,3520509,256223,SP,"segunda-feira, 12/04",41%
25202,INDAIATUBA,3520509,256223,SP,"segunda-feira, 12/07",39%
25475,INDAIATUBA,3520509,256223,SP,"segunda-feira, 12/10",46%
25657,INDAIATUBA,3520509,256223,SP,"segunda-feira, 13/04",52%
25566,INDAIATUBA,3520509,256223,SP,"segunda-feira, 13/07",46%
25230,INDAIATUBA,3520509,256223,SP,"segunda-feira, 14/06",39%
25503,INDAIATUBA,3520509,256223,SP,"segunda-feira, 14/09",40%
25412,INDAIATUBA,3520509,256223,SP,"segunda-feira, 14/12",40%
25349,INDAIATUBA,3520509,256223,SP,"segunda-feira, 15/02",37%
25321,INDAIATUBA,3520509,256223,SP,"segunda-feira, 15/03",42%
25594,INDAIATUBA,3520509,256223,SP,"segunda-feira, 15/06",46%
25440,INDAIATUBA,3520509,256223,SP,"segunda-feira, 16/11",39%
25258,INDAIATUBA,3520509,256223,SP,"segunda-feira, 17/05",39%
25531,INDAIATUBA,3520509,256223,SP,"segunda-feira, 17/08",43%
25377,INDAIATUBA,3520509,256223,SP,"segunda-feira, 18/01",39%
25622,INDAIATUBA,3520509,256223,SP,"segunda-feira, 18/05",48%
25286,INDAIATUBA,3520509,256223,SP,"segunda-feira, 19/04",41%
25195,INDAIATUBA,3520509,256223,SP,"segunda-feira, 19/07",41%
25468,INDAIATUBA,3520509,256223,SP,"segunda-feira, 19/10",40%
25650,INDAIATUBA,3520509,256223,SP,"segunda-feira, 20/04",52%
25559,INDAIATUBA,3520509,256223,SP,"segunda-feira, 20/07",44%
25223,INDAIATUBA,3520509,256223,SP,"segunda-feira, 21/06",39%
25496,INDAIATUBA,3520509,256223,SP,"segunda-feira, 21/09",41%
25405,INDAIATUBA,3520509,256223,SP,"segunda-feira, 21/12",40%
25342,INDAIATUBA,3520509,256223,SP,"segunda-feira, 22/02",38%
25314,INDAIATUBA,3520509,256223,SP,"segunda-feira, 22/03",42%
25587,INDAIATUBA,3520509,256223,SP,"segunda-feira, 22/06",46%
25678,INDAIATUBA,3520509,256223,SP,"segunda-feira, 23/03",55%
25433,INDAIATUBA,3520509,256223,SP,"segunda-feira, 23/11",39%
25251,INDAIATUBA,3520509,256223,SP,"segunda-feira, 24/05",39%
25524,INDAIATUBA,3520509,256223,SP,"segunda-feira, 24/08",42%
25370,INDAIATUBA,3520509,256223,SP,"segunda-feira, 25/01",38%
25615,INDAIATUBA,3520509,256223,SP,"segunda-feira, 25/05",53%
25279,INDAIATUBA,3520509,256223,SP,"segunda-feira, 26/04",41%
25461,INDAIATUBA,3520509,256223,SP,"segunda-feira, 26/10",39%
25643,INDAIATUBA,3520509,256223,SP,"segunda-feira, 27/04",50%
